  %   cumulative   self               self        total
 time   seconds   seconds     calls  ms/call     ms/call  name
  0.00 47073.48      2.02    331123     0.01        0.01  Module#==
  0.00 47075.48      2.00     33961     0.06        1.27  Rtc::Types::UnionType#initialize
  0.00 47077.38      1.90     60205     0.03        0.04  Rtc::ProxyObject#class
  0.00 47079.27      1.89    300433     0.01        0.01  Bignum#+
  0.00 47081.16      1.89     36097     0.05        0.26  Object#get_class_parameters
  0.00 47082.91      1.75     53560     0.03        7.02  Rtc::Types::ParameterizedType#has_parameterized
  0.00 47084.64      1.73     31259     0.06        0.10  String#eql?
  0.00 47086.15      1.51      7098     0.21        0.43  Array#hash
  0.00 47087.57      1.42    157235     0.01        0.01  Rtc::MasterSwitch#turn_off
  0.00 47088.75      1.18    157235     0.01        0.01  Rtc::MasterSwitch#turn_on
  0.00 47089.78      1.03     39728     0.03        0.29  Rtc::Types::UnionType#has_parameterized
  0.00 47090.74      0.96     30052     0.03        0.76  Rtc::Types::UnionType#<=
  0.00 47091.62      0.88    136182     0.01        0.01  Rtc::Types::NominalType#has_parameterized
  0.00 47092.46      0.84     10328     0.08        0.17  Array#map
  0.00 47093.20      0.74     19550     0.04        0.56  String#include?
  0.00 47093.88      0.68    121087     0.01        0.01  Module#method_defined?
  0.00 47094.52      0.64      5156     0.12        0.68  Rtc::Types::ParameterizedType#initialize
  0.00 47095.15      0.63    101280     0.01        0.01  Symbol#==
  0.00 47095.78      0.63      4108     0.15    25680.37  SudokuSolver#eliminate
  0.00 47096.41      0.63      2339     0.27        0.89  Object#rtc_get_type
  0.00 47097.00      0.59     72194     0.01        0.01  Rtc::ClassModifier#get_class_parameters
  0.00 47097.59      0.59     85063     0.01        0.01  Symbol#to_s
  0.00 47098.14      0.55     84258     0.01        0.01  Kernel.nil?
  0.00 47098.68      0.54      6959     0.08       98.15  Rtc::Types::StructuralType#<=
  0.00 47099.22      0.54     72194     0.01        0.01  String#to_s
  0.00 47099.72      0.50     67901     0.01        0.01  Rtc::Types::TypeParameter#has_parameterized
  0.00 47100.21      0.49      6959     0.07       98.06  Rtc::Types::Type#<=
  0.00 47100.68      0.47     73659     0.01        0.01  Hash#include?
  0.00 47101.12      0.44       694     0.63        0.98  Rtc::TypeAnnotationParser#_next_token
  0.00 47101.56      0.44     84990     0.01        0.01  Symbol#to_sym
  0.00 47101.99      0.43     72196     0.01        0.01  Hash#empty?
  0.00 47102.37      0.38     64641     0.01        0.01  Rtc::Types::NominalType#replace_constraints
  0.00 47102.74      0.37     73152     0.01        0.01  Kernel.is_a?
  0.00 47103.11      0.37     44451     0.01        0.01  Rtc::ProxyObject#initialize
  0.00 47103.47      0.36     67402     0.01        0.01  Hash#delete
  0.00 47103.83      0.36      4452     0.08        1.28  Rtc::Types::ParameterizedType#replace_constraints
  0.00 47104.17      0.34     34230     0.01        0.01  Array#product
  0.00 47104.45      0.28     36105     0.01        0.01  String#to_sym
  0.00 47104.68      0.23      4452     0.05        0.20  Rtc::Types::TypeVariable#replace_constraints
  0.00 47104.89      0.21      1968     0.11        0.26  Rtc::Types::NominalType::InheritanceChainIterator#next
  0.00 47105.08      0.19     30078     0.01        0.01  Array#pop
  0.00 47105.27      0.19     37055     0.01        0.01  BasicObject#equal?
  0.00 47105.46      0.19     31259     0.01        0.01  String#old_eql?
  0.00 47105.64      0.18      5160     0.03        0.27  Rtc::Types::StructuralType#initialize
  0.00 47105.81      0.17     36097     0.00        0.00  Module#to_s
  0.00 47105.96      0.15      2058     0.07        0.13  Rtc::Types::ParameterizedType#eql?
  0.00 47106.08      0.12      1298     0.09        0.31  Rtc::Types::TypeVariable#initialize
  0.00 47106.20      0.12     16016     0.01        0.01  StringScanner#scan
  0.00 47106.31      0.11     12651     0.01        0.01  Rtc::Types::NominalType#type_parameters
  0.00 47106.42      0.11      2553     0.04        0.22  Rtc::Types::NominalType#of
  0.00 47106.51      0.09     15921     0.01        0.01  Array#[]=
  0.00 47106.60      0.09     20202     0.00        0.00  String#to_str
  0.00 47106.68      0.08        57     1.40       24.91  Racc::Parser#_racc_do_parse_c
  0.00 47106.76      0.08       588     0.14    89144.23  SudokuSolver#assign
  0.00 47106.83      0.07      1298     0.05        0.39  Rtc::Types::TypeVariable#create
  0.00 47106.90      0.07      2990     0.02        0.03  Array#eql?
  0.00 47106.97      0.07      6623     0.01        0.01  String#length
  0.00 47107.03      0.06      1379     0.04        0.34  Rtc::Types::UnionType#has_method?
  0.00 47107.09      0.06     11006     0.01        0.01  Array#<<
  0.00 47107.14      0.05      2424     0.02        0.02  Fixnum#<
  0.00 47107.19      0.05       197     0.25        0.66  Rtc::ClassLoader.load_class
  0.00 47107.21      0.02      3888     0.01        0.01  Fixnum#>
  0.00 47107.23      0.02      1278     0.02        0.02  Array#frozen?
  0.00 47107.25      0.02       694     0.03        0.03  StringScanner#peek
  0.00 47107.27      0.02       970     0.02        0.02  Rtc::Types::BottomType#<=
  0.00 47107.29      0.02      2136     0.01        0.01  Array#initialize
  0.00 47107.31      0.02       798     0.03        0.03  Rtc::Types::TypeVariable#eql?
  0.00 47107.33      0.02      1248     0.02        0.02  Rtc::Types::BottomType#instance
  0.00 47107.35      0.02      2101     0.01        0.01  Hash#eql?
  0.00 47107.37      0.02       191     0.10        1.10  Rtc::TypeAnnotationParser#_reduce_50
  0.00 47107.39      0.02      3969     0.01        0.01  Array#length
  0.00 47107.41      0.02       191     0.10        0.37  Rtc::TypeAnnotationParser#_reduce_51
  0.00 47107.42      0.01       557     0.02        0.02  String#split
  0.00 47107.43      0.01       664     0.02        0.05  Set#delete
  0.00 47107.44      0.01      1640     0.01        0.01  Class#superclass
  0.00 47107.45      0.01        49     0.20  8842899.59  SudokuSolver#search
  0.00 47107.46      0.01        64     0.16        0.47  Rtc::TypeAnnotationParser#_reduce_66
  0.00 47107.47      0.01       594     0.02        1.16  Rtc::TypeAnnotationParser#next_token
  0.00 47107.48      0.01        17     0.59        0.59  Rtc::Annotated.method_added
  0.00 47107.49      0.01       197     0.05        0.91  Rtc::TypeAnnotationParser#handle_type_ident
